"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
0.318181818181818,0.674418604651163,0,0.28,0.421686746987952,0.253164556962025,0.233333333333333,0.550000000000001,0.759036144578313,0.343283582089552,0.232558139534884,5
0.363636363636364,0.883720930232558,0,0.56,0.686746987951807,0.607594936708861,0.508333333333333,0.425000000000002,0.385542168674699,0.522388059701493,0.325581395348837,5
0.363636363636364,0.744186046511628,0.0506329113924051,0.44,0.614457831325301,0.354430379746835,0.4,0.449999999999999,0.457831325301205,0.477611940298508,0.325581395348837,5
0.75,0.186046511627907,0.708860759493671,0.28,0.409638554216867,0.40506329113924,0.45,0.574999999999998,0.337349397590362,0.373134328358209,0.325581395348837,6
0.318181818181818,0.674418604651163,0,0.28,0.421686746987952,0.253164556962025,0.233333333333333,0.550000000000001,0.759036144578313,0.343283582089552,0.232558139534884,5
0.318181818181818,0.627906976744186,0,0.24,0.409638554216867,0.30379746835443,0.283333333333333,0.550000000000001,0.759036144578313,0.343283582089552,0.232558139534884,5
0.375,0.558139534883721,0.0759493670886076,0.16,0.337349397590362,0.354430379746835,0.441666666666667,0.374999999999995,0.506024096385542,0.194029850746269,0.232558139534884,5
0.306818181818182,0.616279069767442,0,0,0.289156626506024,0.354430379746835,0.125,0.150000000000009,0.614457831325301,0.208955223880597,0.372093023255814,7
0.363636363636364,0.534883720930233,0.0253164556962025,0.32,0.385542168674699,0.20253164556962,0.1,0.425000000000002,0.578313253012048,0.35820895522388,0.255813953488372,7
0.329545454545455,0.441860465116279,0.455696202531646,0.44,0.36144578313253,0.40506329113924,0.8,0.550000000000001,0.566265060240964,0.701492537313433,0.488372093023256,5
0.238636363636364,0.534883720930233,0.10126582278481,0.24,0.674698795180723,0.354430379746835,0.491666666666667,0.312500000000003,0.481927710843373,0.313432835820896,0.186046511627907,5
0.329545454545455,0.441860465116279,0.455696202531646,0.44,0.36144578313253,0.40506329113924,0.8,0.550000000000001,0.566265060240964,0.701492537313433,0.488372093023256,5
0.113636363636364,0.575581395348837,0,0.16,0.578313253012048,0.379746835443038,0.441666666666667,0.1125,0.843373493975904,0.283582089552239,0.348837209302326,5
0.363636363636364,0.569767441860465,0.367088607594937,0.16,0.879518072289157,0.20253164556962,0.191666666666667,0.499999999999993,0.457831325301205,0.432835820895522,0.162790697674418,5
0.488636363636364,0.581395348837209,0.227848101265823,0.44,0.481927710843374,0.30379746835443,0.275,0.650000000000002,0.337349397590362,0.82089552238806,0.186046511627907,5
0.488636363636364,0.581395348837209,0.240506329113924,0.44,0.481927710843374,0.30379746835443,0.275,0.650000000000002,0.349397590361446,0.895522388059702,0.186046511627907,5
0.443181818181818,0.186046511627907,0.708860759493671,0.24,0.614457831325301,0.860759493670886,0.808333333333333,0.437500000000001,0.506024096385542,0.626865671641791,0.488372093023256,7
0.397727272727273,0.511627906976744,0.354430379746835,0.2,0.481927710843374,0.379746835443038,0.416666666666667,0.425000000000002,0.27710843373494,0.432835820895522,0.209302325581395,5
0.318181818181818,0.546511627906977,0.10126582278481,0.44,0.542168674698795,0.126582278481013,0.191666666666667,0.499999999999993,0.602409638554217,0.253731343283582,0.13953488372093,4
0.375,0.232558139534884,0.645569620253165,0.24,0.481927710843374,0.40506329113924,0.416666666666667,0.437500000000001,0.19277108433735,0.432835820895522,0.186046511627907,6
0.488636363636364,0.116279069767442,0.607594936708861,0.24,0.433734939759036,0.708860759493671,0.45,0.425000000000002,0.614457831325301,0.298507462686567,0.232558139534884,6
0.340909090909091,0.313953488372093,0.392405063291139,0.44,0.493975903614458,0.556962025316456,0.541666666666667,0.599999999999994,0.771084337349398,0.477611940298508,0.302325581395349,5
0.375,0.36046511627907,0.265822784810127,0.16,0.783132530120482,0.227848101265823,0.258333333333333,0.400000000000006,0.349397590361446,0.865671641791045,0.255813953488372,5
